Uuid,Privilege name,Description,_order:1000
${var.privilege.preview-forms.uuid},Preview Forms,Allows user to preview Form Entry pages from files. This should be restricted to trusted users only.,
${var.privilege.manage-cohort-definitions.uuid},Manage Cohort Definitions,Add/Edit/Remove Cohort Definitions,
${var.privilege.manage-order-set-attribute-types.uuid},Manage Order Set Attribute Types,Able to add/edit/retire order set attribute types,
${var.privilege.get-diagnoses-attribute-types.uuid},Get Diagnoses Attribute Types,Able to get diagnoses attribute types,
${var.privilege.get-order-set-attribute-types.uuid},Get Order Set Attribute Types,Able to get order set attribute types,
${var.privilege.task-dispensing-create-dispense.uuid},Task: dispensing.create.dispense,Allows user to Dispense Medication,
${var.privilege.task-dispensing-create-dispense-allowsubstitutions.uuid},Task: dispensing.create.dispense.allowSubstitutions,"Allows user to modify the Quantity, Drug, Formulation and Dose Instructions when Dispensing",
${var.privilege.task-dispensing-edit-dispense.uuid},Task: dispensing.edit.dispense,Allows user to edit an existing Medication Dispense,
${var.privilege.task-dispensing-delete-dispense.uuid},Task: dispensing.delete.dispense,Allows user to delete an existing Medication Dispense,
${var.privilege.task-dispensing-delete-dispense-ifcreator.uuid},Task: dispensing.delete.dispense.ifCreator,"Allows user to delete an existing Medication Dispense, *but only* if they created it originally",
${var.privilege.manage-metadata-mapping.uuid},Manage Metadata Mapping,Able to manage metadata mappings,
${var.privilege.view-metadata-via-mapping.uuid},View Metadata Via Mapping,Able to view metadata via a mapping,
${var.privilege.share-metadata.uuid},Share Metadata,Allows user to export and import metadata,
${var.privilege.manage-address-hierarchy.uuid},Manage Address Hierarchy,Allows user to access/modify the defined address hierarchy,
${var.privilege.manage-restws.uuid},Manage RESTWS,Allows to configure RESTWS module,
${var.privilege.view-restws.uuid},View RESTWS,Gives access to RESTWS in administration,
${var.privilege.manage-owa.uuid},Manage OWA,"Allows to configure OWA module, upload modules",
${var.privilege.manage-identifier-sources.uuid},Manage Identifier Sources,"Allows user add, edit, and remove identifier sources",
${var.privilege.manage-auto-generation-options.uuid},Manage Auto Generation Options,"Allows user add, edit, and remove auto-generation options",
${var.privilege.generate-batch-of-identifiers.uuid},Generate Batch of Identifiers,Allows user to generate a batch of identifiers to a file for offline use,
${var.privilege.upload-batch-of-identifiers.uuid},Upload Batch of Identifiers,Allows user to upload a batch of identifiers,
${var.privilege.view-token-registrations.uuid},View Token Registrations,Allows to view token registrations,
${var.privilege.manage-token-registrations.uuid},Manage Token Registrations,Allows to create/update/delete token registrations,
${var.privilege.view-calculations.uuid},View Calculations,Allows to view Calculations,
${var.privilege.manage-reports.uuid},Manage Reports,"Base privilege for add/edit/delete reporting definitions. This gives access to the administrative menus, but you need to grant additional privileges to manage each specific type of reporting definition",
${var.privilege.manage-report-definitions.uuid},Manage Report Definitions,Add/Edit/Remove Report Definitions,
${var.privilege.manage-data-set-definitions.uuid},Manage Data Set Definitions,Add/Edit/Remove Data Set Definitions,
${var.privilege.manage-indicator-definitions.uuid},Manage Indicator Definitions,Add/Edit/Remove Indicator Definitions,
${var.privilege.manage-dimension-definitions.uuid},Manage Dimension Definitions,Add/Edit/Remove Dimension Definitions,
${var.privilege.manage-report-designs.uuid},Manage Report Designs,Add/Edit/Remove Report Designs,
${var.privilege.manage-scheduled-report-tasks.uuid},Manage Scheduled Report Tasks,Manage Task Scheduling in Reporting Module,
${var.privilege.run-reports.uuid},Run Reports,Schedule the running of a report,
${var.privilege.manage-ordertemplates.uuid},Manage OrderTemplates,Add/Edit/Remove Order Templates,
${var.privilege.view-ordertemplates.uuid},View OrderTemplates,View Order Templates,
