County,Health District,Town/Community,Address,Postal Code
Bomi,Klay,,,
Bong,Fuamah,,,
Bong,Jorquelleh,,,
Bong,Salala,,,
Bong,Suakoko,,,
Gbarpolu,Bopolu,,,
Grand Bassa,Commonwealth,,,
Grand Bassa,District #3,,,
Grand Cape Mount,Garwula,,,
Grand Gedeh,Tchien,,,
Grand Kru,Barclayville,,,
Lofa,Foya,,,
Lofa,Kolahun,,,
Lofa,Voinjama,,,
Lofa,Zorzor,,,
Margibi,Firestone,,,
Margibi,Kakata,,,
Maryland,Harper,,,
Maryland,Pleebo/Sodoken,,,
Montserrado,Bushrod,,,
Montserrado,Careysburg,,,
Montserrado,Central Monrovia,,,
Montserrado,Sinkor,,,
Montserrado,Somalia Drive,,,
Montserrado,Todee,,,
Nimba,Saclepea-Mahn,,,
Nimba,Sanniquellie-Mahn,,,
Nimba,Tappita,,,
Nimba,Zoe-Gbao,,,
River Gee,Fish Town,,,
Rivercess,Central Rivercess,,,
Sinoe,Greenville,,,
