Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type
${var.concept.date-of-referral.uuid},,Date of Referral,Date of Referral,Date the referral was issued,Misc,Date
Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers
${var.concept.date-of-referral.uuid},,Date of Referral,Date of Referral,Date the referral was issued,Misc,Date,
${var.concept.national.coughing-2-weeks-or-more-score.uuid},,Coughing 2 Weeks or More - Score,Coughing 2 Weeks or More - Score,Coughing 2 Weeks or More - Score,Question,Numeric,
${var.concept.national.night-sweats-score.uuid},,Night Sweats - Score,Night Sweats - Score,Night Sweats - Score,Question,Numeric,
${var.concept.national.weight-loss-score.uuid},,Weight Loss - Score,Weight Loss - Score,Weight Loss - Score,Question,Numeric,
${var.concept.national.fever-score.uuid},,Fever - Score,Fever - Score,Fever - Score,Question,Numeric,
${var.concept.national.swelling-in-any-part-of-the-body-score.uuid},,Swelling in Any Part of the Body - Score,Swelling in Any Part of the Body - Score,Swelling in Any Part of the Body - Score,Question,Numeric,
${var.concept.national.total-score.uuid},,Total Score,Total Score,Total Score,Question,Numeric,
${var.concept.national.result-of-the-sputum-test-or-other-diagnostic-evaluation.uuid},,Result of the sputum test or other diagnostic evaluation,Result of the sputum test or other diagnostic evaluation,Result of the sputum test or other diagnostic evaluation,Question,Text,
${var.concept.national.date-the-screening-was-conducted.uuid},,Date the screening was conducted,Date the screening was conducted,Date the screening was conducted,Question,Date,
${var.concept.national.contact-of-tb-patient.uuid},,Contact of TB Patient,Contact of TB Patient,Contact of TB Patient,Question,Coded,
${var.concept.national.previously-treated-for-tb.uuid},,Previously Treated for TB,Previously Treated for TB,Previously Treated for TB,Question,Coded,
${var.concept.national.date-tb-treatment-was-started.uuid},,Date TB treatment was started,Date TB treatment was started,Date TB treatment was started,Question,Date,
${var.concept.national.gravida.uuid},,Gravida,Gravida,Gravida,Question,Numeric,
${var.concept.national.last-menstrual-period-lmp.uuid},,Last menstrual period LMP,LMP,Last menstrual period LMP,Question,Date,
${var.concept.national.full-term-births-f.uuid},,Full-term births (F),Full-term births,Full-term births (F),Question,Numeric,
${var.concept.national.preterm-births-p.uuid},,Preterm births (P),Preterm births,Preterm births (P),Question,Numeric,
${var.concept.national.abortions-a.uuid},,Abortions (A),Abortions,Abortions (A),Question,Numeric,
${var.concept.national.living-children-l-n.uuid},,Living children (L/N),Living children,Living children (L/N),Question,Numeric,
${var.concept.national.color.uuid},,Color,Color,Color,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.heart.uuid},,Heart,Heart,Heart,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.lungs.uuid},,Lungs,Lungs,Lungs,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.breasts.uuid},,Breasts,Breasts,Breasts,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.nipples.uuid},,Nipples,Nipples,Nipples,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.abdomen.uuid},,Abdomen,Abdomen,Abdomen,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.extremities.uuid},,Extremities,Extremities,Extremities,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.pelvic-examination.uuid},,Pelvic examination,Pelvic exam,Pelvic examination,Question,Coded,${var.concept.national.normal.uuid};${var.concept.national.abnormal.uuid}${var.concept.national.normal.uuid},,Normal,Normal,Normal,Misc,N/A,
${var.concept.national.abnormal.uuid},,Abnormal,Abnormal,Abnormal,Misc,N/A,
${var.concept.national.explain-abnormalities.uuid},,Explain abnormalities,Explain abnormalities,Explain abnormalities,Question,Text,
${var.concept.national.routine-drugs.uuid},,Routine Drugs,Routine Drugs,Routine Drugs,Question,Text,
${var.concept.national.date-of-the-anc-follow-up-visit.uuid},,Date of the ANC follow-up visit,ANC follow-up date,Date of the ANC follow-up visit,Question,Date,
${var.concept.national.blood-pressure-systolic.uuid},,Blood Pressure (Systolic),BP Systolic,Blood Pressure (Systolic),Question,Numeric,
${var.concept.national.blood-pressure-diastolic.uuid},,Blood Pressure (Diastolic),BP Diastolic,Blood Pressure (Diastolic),Question,Numeric,
${var.concept.national.weight-kg.uuid},,Weight (kg),Weight,Weight (kg),Question,Numeric,
${var.concept.national.gestational-age-weeks.uuid},,Gestational age (Weeks),Gestational age,Gestational age (Weeks),Question,Numeric,
${var.concept.national.fundal-height-cm.uuid},,Fundal height (cm),Fundal height,Fundal height (cm),Question,Numeric,
${var.concept.national.presentation.uuid},,Presentation,Presentation,Presentation,Question,Coded,${var.concept.national.vertex.uuid}${var.concept.national.vertex.uuid},,Vertex,Vertex,Vertex,Misc,N/A,
${var.concept.national.colour-hgt.uuid},,Colour (HGT),Colour (HGT),Colour (HGT),Question,Text,
${var.concept.national.fetal-heart-tone-fht.uuid},,Fetal heart tone (FHT),Fetal heart tone,Fetal heart tone (FHT),Question,Numeric,
${var.concept.national.other-findings.uuid},,Other findings,Other findings,Other findings,Question,Text,
${var.concept.national.treatment-remarks.uuid},,Treatment remarks,Treatment remarks,Treatment remarks,Question,Text,
${var.concept.national.scheduled-date-for-next-anc-visit.uuid},,Scheduled date for next ANC visit,Next ANC visit date,Scheduled date for next ANC visit,Question,Date,
${var.concept.national.pregnancy-status.uuid},,Pregnancy status,Pregnancy status,Pregnancy status,Question,Coded,${var.concept.national.1st-trimester.uuid};${var.concept.national.2nd-trimester.uuid};${var.concept.national.3rd-trimester.uuid}${var.concept.national.1st-trimester.uuid},,1st trimester,1st trimester,1st trimester,Misc,N/A,
${var.concept.national.2nd-trimester.uuid},,2nd trimester,2nd trimester,2nd trimester,Misc,N/A,
${var.concept.national.3rd-trimester.uuid},,3rd trimester,3rd trimester,3rd trimester,Misc,N/A,
${var.concept.national.anc-visit-number.uuid},,ANC visit number,ANC visit number,ANC visit number,Question,Coded,${var.concept.national.1st.uuid};${var.concept.national.2nd.uuid};${var.concept.national.3rd.uuid};${var.concept.national.4th.uuid}${var.concept.national.1st.uuid},,1st,1st,1st,Misc,N/A,
${var.concept.national.2nd.uuid},,2nd,2nd,2nd,Misc,N/A,
${var.concept.national.3rd.uuid},,3rd,3rd,3rd,Misc,N/A,
${var.concept.national.4th.uuid},,4th+,4th+,4th+,Misc,N/A,
