Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
${var.concept.ciel.1284.uuid},,CIEL:1284,org.openmrs.module.emrapi:Coded Diagnosis,Problem List,Liste de problème,,List of problems for a given patient visit.,,Finding,Coded,,,,,,
${var.concept.ciel.160250.uuid},,SNOMED-CT:89100005;CIEL:160250,Final diagnosis,Diagnostic final,,,,,Misc,N/A,,,,,
${var.concept.ciel.159392.uuid},,SNOMED-CT:395098000;CIEL:159392;org.openmrs.module.emrapi:Confirmed;PIH:1345,Confirmed diagnosis,Diagnostic confirmé,,,"The diagnosis is confirmed, not just presumed.",,Misc,N/A,,,,,
${var.concept.ciel.160249.uuid},,SNOMED-CT:148006;CIEL:160249,Provisional diagnosis,Diagnostic provisoire,,,,,Misc,N/A,,,,
${var.concept.ciel.159393.uuid},,SNOMED-CT:410596003;CIEL:159393;org.openmrs.module.emrapi:Presumed;PIH:1346,Presumed diagnosis,Diagnostic probable,,,The diagnosis is yet to be confirmed by special tests. This is the diagnosis based on clinical findings.,,Misc,N/A,,,,,
${var.concept.ciel.159394.uuid},,SNOMED-CT:106230009;CIEL:159394;org.openmrs.module.emrapi:Diagnosis Certainty,Diagnosis certainty,Certitude de diagnostic,,,The level of the certainty of the diagnosis made.,,Finding,Coded,CIEL:160250;CIEL:159392;CIEL:160249;CIEL:159393,,,,
${var.concept.ciel.159947.uuid},,CIEL:159947;org.openmrs.module.emrapi:Diagnosis Concept Set,Visit Diagnoses,,,,The set of diagnoses that were either addressed or diagnosed during the current visit,,ConvSet,N/A,CIEL:159394,,,,
${var.concept.ciel.159943.uuid},,SNOMED-CT:63161005;CIEL:159943;org.openmrs.module.emrapi:Primary,Primary,Principal,,,Primary diagnosis,,Misc,N/A,,,,,
${var.concept.ciel.159944.uuid},,SNOMED-CT:2603003;CIEL:159944;org.openmrs.module.emrapi:Secondary,Secondary,Secondaire,,,Secondary Diagnosis,,Misc,N/A,,,,,
${var.concept.ciel.159946.uuid},,CIEL:159946;org.openmrs.module.emrapi:Diagnosis Order, Diagnosis order,L'ordre de Diagnostic,,,"Classification of diagnosis as primary, secondary, etc.",,Finding,Coded,,,,,
${var.concept.national.mild-persistent-asthma-j45-9.uuid},,ICD-10-WHO:J45.9,Mild persistent asthma (J45.9),Asthme persistant leger (J45.9),Mild persistent asthma,Asthme persistant leger,,,Diagnosis,N/A,,,,,
