Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
${var.concept.national.item-f292890a.uuid},,,Abacavir (ABC),Abacavir (ABC),Drug,N/A,,,
${var.concept.national.item-38752a31.uuid},,,Aceclofenac,Aceclofenac,Drug,N/A,,,
${var.concept.national.item-8836eada.uuid},,,"Acetaminophen,Pseudo-ephedrine,Dextrometorphan,Chlorpheniramine","Acétaminophene,pseudo-éphédrine,dextrométorphane,chlorphéniramine",Drug,N/A,,,
${var.concept.national.item-73e97253.uuid},,,Aclidinium Bromide,Bromure d'aclidinium,Drug,N/A,,,
${var.concept.national.item-ebe04ba6.uuid},,,Activated charcoal,Charbon activé,Drug,N/A,,,
${var.concept.ciel.70245.uuid},,,Acyclovir,Acyclovir,Drug,N/A,,,
${var.concept.national.item-d770fc0a.uuid},,,Adrenaline,Adrénaline,Drug,N/A,,,
${var.concept.ciel.70439.uuid},,,Albendazole,Albendazole,Drug,N/A,,,
${var.concept.national.item-ce130684.uuid},,,Albumin,Albumine,Drug,N/A,,,
${var.concept.national.item-445f380a.uuid},,,Albuterol,Albutérol,Drug,N/A,,,
${var.concept.national.item-b2841832.uuid},,,Alcohol,Alcohol,Drug,N/A,,,
${var.concept.ciel.70878.uuid},,,Allopurinol,Allopurinol,Drug,N/A,,,
${var.concept.national.item-84bb5c70.uuid},,,Alpha Methyl Dopa,Alpha Métyl Dopa,Drug,N/A,,,
${var.concept.ciel.70938.uuid},,,Alprazolam,Alprazolam,Drug,N/A,,,
${var.concept.national.item-861a302b.uuid},,,Aluminum & Magnesium hydroxide & Simethicone,Simethicone et hydroxide de magnesium et aluminium,Drug,N/A,,,
${var.concept.ciel.71060.uuid},,,Amikacin,Amikacine,Drug,N/A,,,
${var.concept.national.item-e0cf9a43.uuid},,,Amino Acids and Vitamins,Acides aminés et vitamines,Drug,N/A,,,
${var.concept.national.item-92836bbe.uuid},,,Aminophyllin,Aminophylline,Drug,N/A,,,
${var.concept.ciel.71118.uuid},,,Amiodarone,Amiodarone,Drug,N/A,,,
${var.concept.ciel.931.uuid},,,Amitriptyline,Amitriptyline,Drug,N/A,,,
${var.concept.national.item-73a42073.uuid},,,Amlodipine & Atenolol,Amlodipine et aténolol,Drug,N/A,,,
${var.concept.ciel.71160.uuid},,,Amoxicillin,Amoxicilline,Drug,N/A,,,
${var.concept.national.item-5af24242.uuid},,,Amoxicillin & Clavulanate,Amoxicilline et clavulanate,Drug,N/A,,,
${var.concept.ciel.450.uuid},,,Amoxicillin and clavulanic acid,Amoxicilline et acide clavulanique,Drug,N/A,,,
${var.concept.national.item-f0dbd31e.uuid},,,Amoxicillin & Cloxacillin,Amoxicilline et cloxacilline,Drug,N/A,,,
${var.concept.ciel.71184.uuid},,,Amphotericin B,Amphotéricine b,Drug,N/A,,,
${var.concept.ciel.71188.uuid},,,Ampicillin,Ampicilline,Drug,N/A,,,
${var.concept.national.item-08c44970.uuid},,,Ampicillin & Cloxacillin,Ampicilline et cloxacilline,Drug,N/A,,,
${var.concept.national.item-d00fa604.uuid},,,Antacid,Anti-acide,Drug,N/A,,,
${var.concept.national.item-9cedc898.uuid},,,Antioxidant,Antioxydant,Drug,N/A,,,
${var.concept.national.item-07470e7f.uuid},,,Antipyrine,Antipyrine,Drug,N/A,,,
${var.concept.national.item-66de98f3.uuid},,,Apetamine,Apetamine,Drug,N/A,,,
${var.concept.national.item-a6ba4400.uuid},,,Apressoline,Apressoline,Drug,N/A,,,
${var.concept.national.item-a5f95187.uuid},,,Ascorbic acid (Vit C),Ascorbic acid (Vit C),Drug,N/A,,,
${var.concept.national.item-5c8b92d4.uuid},,,Atazanavir & Ritonavir,Atazanavir & Ritonavir,Drug,N/A,,,
${var.concept.national.item-316441ec.uuid},,,Atenolol,Aténolol,Drug,N/A,,,
${var.concept.national.item-83902f85.uuid},,,Atorvastatin,Atorvastatine,Drug,N/A,,,
${var.concept.national.item-0fef4696.uuid},,,Atovaquone & Proquanil,Atovaquone et proquanil,Drug,N/A,,,
${var.concept.national.item-5a2b62f9.uuid},,,Atovaquone & Proquanil hydrochloride,Atovaquone et chlorihydrate de proquanil,Drug,N/A,,,
${var.concept.national.item-b4dc0131.uuid},,,Atropine,Atropine,Drug,N/A,,,
${var.concept.national.item-2dc41359.uuid},,,Bacitracin,Bacitracine,Drug,N/A,,,
${var.concept.national.item-4f60c141.uuid},,,BCG vaccine,BCG vaccine,Drug,N/A,,,
${var.concept.national.item-ca2598c9.uuid},,,Bebe Sirop,Bébé Sirop,Drug,N/A,,,
${var.concept.national.item-12f2b5bc.uuid},,,Beclomethasone Dipropionate,Dipropionate de béclométhasone,Drug,N/A,,,
${var.concept.national.item-252159dc.uuid},,,Belladona & Phenobarbital,Belladona & Phenobarbital,Drug,N/A,,,
${var.concept.national.item-407ff256.uuid},,,Benzathine penicillin,Benzathine pénicilline,Drug,N/A,,,
${var.concept.national.item-a86aa3b5.uuid},,,Benzocaine-Chloroxylenol,Benzocaïne-chloroxylénol,Drug,N/A,,,
${var.concept.national.item-502820f5.uuid},,,Benzoic & Salicylic Acid,Acide benzoïque et salicylique,Drug,N/A,,,
${var.concept.ciel.72063.uuid},,,Benzoyl Peroxide,Peroxyde de benzoyle,Drug,N/A,,,
${var.concept.ciel.72075.uuid},,,Benzyl Benzoate,Benzoate de benzyl,Drug,N/A,,,
${var.concept.national.item-2bcf9bff.uuid},,,Benzyl penicillin,Benzyl pénicilline,Drug,N/A,,,
${var.concept.national.item-aee293c2.uuid},,,Benzyl penicillin Procaine,Benzyl pénicilline procaine,Drug,N/A,,,
${var.concept.national.item-a7ce5d88.uuid},,,Betamethasone,Bétamethasone,Drug,N/A,,,
${var.concept.national.item-b39042a0.uuid},,,Betaxolol,Bétaxolol,Drug,N/A,,,
${var.concept.national.item-51aba50f.uuid},,,Biperidene lactate,Lactate de bipéridène,Drug,N/A,,,
${var.concept.national.item-93c9e6d7.uuid},,,Bisacodyl,Bisacodyl,Drug,N/A,,,
${var.concept.national.item-a546446e.uuid},,,Boric acid & Antipyrine & Ephedrine,Acide borique & Antipyrine & Ephedrine,Drug,N/A,,,
${var.concept.national.item-04c434fc.uuid},,,Brimonidine & timolol,Brimonidine & timolol,Drug,N/A,,,
${var.concept.national.item-3ea490ec.uuid},,,Brimonidine tartrate,Tartrate de brimonidine,Drug,N/A,,,
${var.concept.national.item-7736310e.uuid},,,Bromhexine,Bromhexine,Drug,N/A,,,
${var.concept.national.item-7e31f224.uuid},,,Budesonide,Budésonide,Drug,N/A,,,
