Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Units,Allow decimals,Display precision,_version:1,_order:1000
${var.concept.ciel.5085.uuid},,CIEL:5085;PIH:5085;AMPATH:5085;SNOMED CT:271649006,Systolic blood pressure,Tension arterielle systolique,SBP,,A patient's systolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position),,Finding,Numeric,0,85,100,140,180,250,mmHg,No,,,
${var.concept.ciel.5086.uuid},,CIEL:5086;PIH:5086;AMPATH:5086;SNOMED CT:271650006;LOINC:35094-2,Diastolic blood pressure,Tension arterielle diastolique,DBP,,A patient's diastolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position),,Finding,Numeric,0,40,55,90,120,150,mmHg,No,,,
${var.concept.ciel.5088.uuid},,CIEL:5088;PIH:5088;AMPATH:5088,Temperature (c),Température (c),Temp (c),,Patient's temperature in degrees centigrade.,,Finding,Numeric,25,,35,37.7,39,43,DEG C,Yes,,,
${var.concept.ciel.5090.uuid},,CIEL:5090;PIH:5090;AMPATH:5090,Height (cm),Taille (cm),HT,,Patient's height in centimeters.,,Finding,Numeric,10,,,,,272,cm,Yes,,,
${var.concept.ciel.5089.uuid},,CIEL:5089;PIH:5089;AMPATH:5089,Weight (kg),Poids (kg),WT,,Patient's weight in kilograms.,,Finding,Numeric,0,,,,,250,kg,Yes,,,
${var.concept.ciel.5087.uuid},,CIEL:5087;PIH:5087;AMPATH:5087;SNOMED CT:78564009,Pulse,Pouls,HR,,"Patient pulse rate, as measured with a peripheral oximeter.",,Finding,Numeric,0,49,55,100,130,230,beats/min,No,,,
${var.concept.ciel.1343.uuid},,CIEL:1343;PIH:1290;AMPATH:1343;SNOMED CT:284473002,Mid-upper arm circumference,Circonférence du haut du bras,MUAC,,"MUAC is the circumference of the left upper arm, measured at the mid-point between the tip of the shoulder and the tip of the elbow. MUAC is useful for the assessment of nutritional status.",,Finding,Numeric,,,,,,,cm,Yes,,,
${var.concept.ciel.5242.uuid},,CIEL:5242;PIH:5242;AMPATH:5242;SNOMED CT:86290005,Respiratory rate,Rythme respiratoire,RR,,Measured respiratory rate in breaths per minute,Frequence respiratoire,Finding,Numeric,0,8,12,18,26,999,breaths/min,No,,,
${var.concept.ciel.5283.uuid},,CIEL:5283;AMPATH:5283,Karnofsky performance score,,KPS,,Zero to 100 scale commonly used for assessing terminally ill patients.,,Finding,Numeric,,,,,,,%,,0,,
${var.concept.ciel.5092.uuid},,CIEL:5092;AMPATH:5092;SNOMED CT:431314004,Arterial blood oxygen saturation (pulse oximeter),Saturation d'oxygène dans le sang,SpO2,,"Oxygen saturation, as measured from a peripheral oximeter.",,Finding,Numeric,0,90,95,,,100,%,Yes,,,,
