Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
${var.drug.pharmacy.item-f292890a.uuid},,Abacavir (ABC),${var.concept.national.item-f292890a.uuid},,,
${var.drug.pharmacy.item-8836eada.uuid},,"Acetaminophen,Pseudo-ephedrine,Dextrometorphan,Chlorpheniramine",${var.concept.national.item-8836eada.uuid},,,
${var.drug.pharmacy.item-73e97253.uuid},,Aclidinium Bromide,${var.concept.national.item-73e97253.uuid},,,
${var.drug.pharmacy.ciel-70245.uuid},,Acyclovir,${var.concept.ciel.70245.uuid},,,
${var.drug.pharmacy.ciel-70439.uuid},,Albendazole,${var.concept.ciel.70439.uuid},,,
${var.drug.pharmacy.item-ce130684.uuid},,Albumin,${var.concept.national.item-ce130684.uuid},,,
${var.drug.pharmacy.item-b2841832.uuid},,Alcohol,${var.concept.national.item-b2841832.uuid},,,
${var.drug.pharmacy.ciel-70878.uuid},,Allopurinol,${var.concept.ciel.70878.uuid},,,
${var.drug.pharmacy.item-84bb5c70.uuid},,Alpha Methyl Dopa,${var.concept.national.item-84bb5c70.uuid},,,
${var.drug.pharmacy.ciel-70938.uuid},,Alprazolam,${var.concept.ciel.70938.uuid},,,
${var.drug.pharmacy.item-861a302b.uuid},,Aluminum & Magnesium hydroxide & Simethicone,${var.concept.national.item-861a302b.uuid},,,
${var.drug.pharmacy.ciel-71060.uuid},,Amikacin,${var.concept.ciel.71060.uuid},,,
${var.drug.pharmacy.item-e0cf9a43.uuid},,Amino Acids and Vitamins,${var.concept.national.item-e0cf9a43.uuid},,,
${var.drug.pharmacy.ciel-71118.uuid},,Amiodarone,${var.concept.ciel.71118.uuid},,,
${var.drug.pharmacy.ciel-931.uuid},,Amitriptyline,${var.concept.ciel.931.uuid},,,
${var.drug.pharmacy.item-73a42073.uuid},,Amlodipine & Atenolol,${var.concept.national.item-73a42073.uuid},,,
${var.drug.pharmacy.ciel-71160.uuid},,Amoxicillin,${var.concept.ciel.71160.uuid},,,
${var.drug.pharmacy.item-5af24242.uuid},,Amoxicillin & Clavulanate,${var.concept.national.item-5af24242.uuid},,,
${var.drug.pharmacy.item-f0dbd31e.uuid},,Amoxicillin & Cloxacillin,${var.concept.national.item-f0dbd31e.uuid},,,
${var.drug.pharmacy.ciel-450.uuid},,Amoxicillin and clavulanic acid,${var.concept.ciel.450.uuid},,,
${var.drug.pharmacy.ciel-71184.uuid},,Amphotericin B,${var.concept.ciel.71184.uuid},,,
${var.drug.pharmacy.ciel-71188.uuid},,Ampicillin,${var.concept.ciel.71188.uuid},,,
${var.drug.pharmacy.item-9cedc898.uuid},,Antioxidant,${var.concept.national.item-9cedc898.uuid},,,
${var.drug.pharmacy.item-66de98f3.uuid},,Apetamine,${var.concept.national.item-66de98f3.uuid},,,
${var.drug.pharmacy.item-a5f95187.uuid},,Ascorbic acid (Vit C),${var.concept.national.item-a5f95187.uuid},,,
${var.drug.pharmacy.item-5c8b92d4.uuid},,Atazanavir & Ritonavir,${var.concept.national.item-5c8b92d4.uuid},,,
${var.drug.pharmacy.item-0fef4696.uuid},,Atovaquone & Proquanil,${var.concept.national.item-0fef4696.uuid},,,
${var.drug.pharmacy.item-5a2b62f9.uuid},,Atovaquone & Proquanil hydrochloride,${var.concept.national.item-5a2b62f9.uuid},,,
${var.drug.pharmacy.item-ca2598c9.uuid},,Bebe Sirop,${var.concept.national.item-ca2598c9.uuid},,,
${var.drug.pharmacy.item-252159dc.uuid},,Belladona & Phenobarbital,${var.concept.national.item-252159dc.uuid},,,
${var.drug.pharmacy.item-407ff256.uuid},,Benzathine penicillin,${var.concept.national.item-407ff256.uuid},,,
${var.drug.pharmacy.item-a86aa3b5.uuid},,Benzocaine-Chloroxylenol,${var.concept.national.item-a86aa3b5.uuid},,,
${var.drug.pharmacy.item-502820f5.uuid},,Benzoic & Salicylic Acid,${var.concept.national.item-502820f5.uuid},,,
${var.drug.pharmacy.ciel-72063.uuid},,Benzoyl Peroxide,${var.concept.ciel.72063.uuid},,,
${var.drug.pharmacy.item-2bcf9bff.uuid},,Benzyl penicillin,${var.concept.national.item-2bcf9bff.uuid},,,
${var.drug.pharmacy.item-aee293c2.uuid},,Benzyl penicillin Procaine,${var.concept.national.item-aee293c2.uuid},,,
${var.drug.pharmacy.item-51aba50f.uuid},,Biperidene lactate,${var.concept.national.item-51aba50f.uuid},,,
${var.drug.pharmacy.item-a546446e.uuid},,Boric acid & Antipyrine & Ephedrine,${var.concept.national.item-a546446e.uuid},,,
${var.drug.pharmacy.item-04c434fc.uuid},,Brimonidine & timolol,${var.concept.national.item-04c434fc.uuid},,,
${var.drug.pharmacy.item-04cda318.uuid},,Budesonide & Formoterol,${var.concept.national.item-04cda318.uuid},,,
${var.drug.pharmacy.ciel-72505.uuid},,Bupivacaine,${var.concept.ciel.72505.uuid},,,
${var.drug.pharmacy.item-bc09e8b4.uuid},,Bupivacaine spinal heavy,${var.concept.national.item-bc09e8b4.uuid},,,
${var.drug.pharmacy.item-c731f7a1.uuid},,Calcium & vit,${var.concept.national.item-c731f7a1.uuid},,,
${var.drug.pharmacy.ciel-72678.uuid},,Calcium Gluconate,${var.concept.ciel.72678.uuid},,,
${var.drug.pharmacy.item-aa367bfd.uuid},,Carbamazine,${var.concept.national.item-aa367bfd.uuid},,,
${var.drug.pharmacy.item-b46265ad.uuid},,Chlorpheniramine,${var.concept.national.item-b46265ad.uuid},,,
${var.drug.pharmacy.ciel-73449.uuid},,Ciprofloxacin,${var.concept.ciel.73449.uuid},,,
${var.drug.pharmacy.item-f4392a22.uuid},,Clomifen citrate,${var.concept.national.item-f4392a22.uuid},,,
${var.drug.pharmacy.item-1a785710.uuid},,Clotrimazole & Lignocaine,${var.concept.national.item-1a785710.uuid},,,
${var.drug.pharmacy.item-ebfa6b78.uuid},,Clotrimazole Otic,${var.concept.national.item-ebfa6b78.uuid},,,
${var.drug.pharmacy.item-a4615855.uuid},,Co-Amoxiclav,${var.concept.national.item-a4615855.uuid},,,
${var.drug.pharmacy.item-388ee6dc.uuid},,Complex B,${var.concept.national.item-388ee6dc.uuid},,,
${var.drug.pharmacy.item-ced8473f.uuid},,"Complex B (B1, B6, B12)",${var.concept.national.item-ced8473f.uuid},,,
${var.drug.pharmacy.item-213140e7.uuid},,Corticosteroid,${var.concept.national.item-213140e7.uuid},,,
${var.drug.pharmacy.item-28ed2e52.uuid},,Cortisone & antibiotic & antimycotic,${var.concept.national.item-28ed2e52.uuid},,,
${var.drug.pharmacy.item-990f8299.uuid},,Cremaffin,${var.concept.national.item-990f8299.uuid},,,
${var.drug.pharmacy.ciel-74123.uuid},,Cycloserine,${var.concept.ciel.74123.uuid},,,
${var.drug.pharmacy.item-8f8920be.uuid},,Dequalinium & Lidocaine,${var.concept.national.item-8f8920be.uuid},,,
${var.drug.pharmacy.ciel-74609.uuid},,Dexamethasone,${var.concept.ciel.74609.uuid},,,
${var.drug.pharmacy.item-18b4fab2.uuid},,Dextran in NaCl,${var.concept.national.item-18b4fab2.uuid},,,
${var.drug.pharmacy.item-49be9771.uuid},,Dextrose,${var.concept.national.item-49be9771.uuid},,,
${var.drug.pharmacy.item-8f29cfad.uuid},,Dextrose & Normal Saline (DNS),${var.concept.national.item-8f29cfad.uuid},,,
${var.drug.pharmacy.ciel-74745.uuid},,Diazepam,${var.concept.ciel.74745.uuid},,,
${var.drug.pharmacy.item-66c997ab.uuid},,Diclofenac & Methocarbamol & Paracetamol,${var.concept.national.item-66c997ab.uuid},,,
${var.drug.pharmacy.item-05130695.uuid},,Diclofenac & Vitamin B complex,${var.concept.national.item-05130695.uuid},,,
${var.drug.pharmacy.item-db3f2064.uuid},,Didanosine (DDI),${var.concept.national.item-db3f2064.uuid},,,
${var.drug.pharmacy.item-5ac2861d.uuid},,Diosmine & Hesperidine,${var.concept.national.item-5ac2861d.uuid},,,
${var.drug.pharmacy.item-8652f96c.uuid},,Diphenidramine,${var.concept.national.item-8652f96c.uuid},,,
${var.drug.pharmacy.item-59381959.uuid},,Diphtheria Tetanus Pertusis Vaccine (DTP),${var.concept.national.item-59381959.uuid},,,
${var.drug.pharmacy.item-51ef2b9a.uuid},,Diphtheria Tetanus Vaccine (DT),${var.concept.national.item-51ef2b9a.uuid},,,
${var.drug.pharmacy.item-34f39ebd.uuid},,Dipirone,${var.concept.national.item-34f39ebd.uuid},,,
${var.drug.pharmacy.ciel-75121.uuid},,Docusate Sodium,${var.concept.ciel.75121.uuid},,,
${var.drug.pharmacy.item-b50b13e1.uuid},,Dolex,${var.concept.national.item-b50b13e1.uuid},,,
${var.drug.pharmacy.item-3d0fed4d.uuid},,Dorzolamine & timolol,${var.concept.national.item-3d0fed4d.uuid},,,
${var.drug.pharmacy.item-497457dc.uuid},,Dyphenhydramine,${var.concept.national.item-497457dc.uuid},,,
${var.drug.pharmacy.item-da210f84.uuid},,Efavirenz & Lamivudine & Tenofovir,${var.concept.national.item-da210f84.uuid},,,
${var.drug.pharmacy.item-6744c8d5.uuid},,Efavirenz (ENV or EFZ),${var.concept.national.item-6744c8d5.uuid},,,
${var.drug.pharmacy.item-8d26417d.uuid},,Emollient Lotion,${var.concept.national.item-8d26417d.uuid},,,
${var.drug.pharmacy.ciel-75720.uuid},,Ephedrine,${var.concept.ciel.75720.uuid},,,
${var.drug.pharmacy.ciel-75842.uuid},,Erythromycin,${var.concept.ciel.75842.uuid},,,
${var.drug.pharmacy.item-7f097fc4.uuid},,Etophylline & Theophylline,${var.concept.national.item-7f097fc4.uuid},,,
${var.drug.pharmacy.item-48bcdab5.uuid},,Eucalyptus & Diphenhydramine & Phenylephrine,${var.concept.national.item-48bcdab5.uuid},,,
${var.drug.pharmacy.item-cee47202.uuid},,Eucerin,${var.concept.national.item-cee47202.uuid},,,
${var.drug.pharmacy.item-70f0f39c.uuid},,Eye glasses,${var.concept.national.item-70f0f39c.uuid},,,
${var.drug.pharmacy.ciel-76272.uuid},,Fentanyl,${var.concept.ciel.76272.uuid},,,
${var.drug.pharmacy.item-0a5315d5.uuid},,Fer elementaire & Acide folique,${var.concept.national.item-0a5315d5.uuid},,,
${var.drug.pharmacy.item-d1274833.uuid},,Ferrous Folate,${var.concept.national.item-d1274833.uuid},,,
${var.drug.pharmacy.ciel-76552.uuid},,Fluoxetine,${var.concept.ciel.76552.uuid},,,
${var.drug.pharmacy.item-c5a918a7.uuid},,Fluticasone & Salmeterol,${var.concept.national.item-c5a918a7.uuid},,,
${var.drug.pharmacy.item-39aee96f.uuid},,Fluticasone Furoate & Vilanterol,${var.concept.national.item-39aee96f.uuid},,,
${var.drug.pharmacy.item-59c4799f.uuid},,Fluticasone spray,${var.concept.national.item-59c4799f.uuid},,,
${var.drug.pharmacy.ciel-76613.uuid},,Folic Acid,${var.concept.ciel.76613.uuid},,,
${var.drug.pharmacy.item-13c78cde.uuid},,Formula Milk,${var.concept.national.item-13c78cde.uuid},,,
${var.drug.pharmacy.item-81e598ec.uuid},,Frusemide & Amiloride,${var.concept.national.item-81e598ec.uuid},,,
${var.drug.pharmacy.item-f83db0a5.uuid},,Fungobacter,${var.concept.national.item-f83db0a5.uuid},,,
${var.drug.pharmacy.item-cb8b19e0.uuid},,Furosemide & Spironolactone,${var.concept.national.item-cb8b19e0.uuid},,,
${var.drug.pharmacy.item-f59f2ffe.uuid},,Gamma Benzene Hexachloride & Cetrimide,${var.concept.national.item-f59f2ffe.uuid},,,
${var.drug.pharmacy.item-18e51e1e.uuid},,Gamma-Hexachlorocyclohexane,${var.concept.national.item-18e51e1e.uuid},,,
${var.drug.pharmacy.item-da550975.uuid},,Glipizide Er,${var.concept.national.item-da550975.uuid},,,
${var.drug.pharmacy.item-1d47e474.uuid},,Glucosamine & Chondroitin,${var.concept.national.item-1d47e474.uuid},,,
${var.drug.pharmacy.item-a90d51dd.uuid},,Glycerin,${var.concept.national.item-a90d51dd.uuid},,,
${var.drug.pharmacy.item-6b90f8e8.uuid},,Glycerine & Sodium Chloride Enema,${var.concept.national.item-6b90f8e8.uuid},,,
${var.drug.pharmacy.item-c9c0c627.uuid},,Griseofulvine,${var.concept.national.item-c9c0c627.uuid},,,
${var.drug.pharmacy.ciel-77335.uuid},,Haloperidol,${var.concept.ciel.77335.uuid},,,
${var.drug.pharmacy.item-b88ca045.uuid},,Heatwrap,${var.concept.national.item-b88ca045.uuid},,,
${var.drug.pharmacy.ciel-77413.uuid},,Heparin,${var.concept.ciel.77413.uuid},,,
${var.drug.pharmacy.item-b07006a3.uuid},,Hialorunate de Na+,${var.concept.national.item-b07006a3.uuid},,,
${var.drug.pharmacy.item-bd8f1042.uuid},,Hialorunate de Na+ et oxymetazoline,${var.concept.national.item-bd8f1042.uuid},,,
${var.drug.pharmacy.item-3332a02d.uuid},,Hydrocortisone & Acetic Acid,${var.concept.national.item-3332a02d.uuid},,,
${var.drug.pharmacy.item-3673e2b5.uuid},,Hydrocortisone hemorrhoidal,${var.concept.national.item-3673e2b5.uuid},,,
