UUID,Name,Service,Location,Status Concept Set,Priority Concept Set
${var.queue.national.tb-screening.uuid},TB Screening,${var.concept.national.tb-screening-service.uuid},${var.location.opd.uuid},,
${var.queue.national.anc.uuid},ANC,${var.concept.national.anc-service.uuid},${var.location.opd.uuid},,
${var.queue.national.general-consultation.uuid},General Consultation,${var.concept.national.general-consultation-service.uuid},${var.location.opd.uuid},,
${var.queue.national.tb-screening-maternity.uuid},TB Screening,${var.concept.national.tb-screening-service.uuid},${var.location.maternity.uuid},,
${var.queue.national.anc-maternity.uuid},ANC,${var.concept.national.anc-service.uuid},${var.location.maternity.uuid},,
${var.queue.national.general-consultation-maternity.uuid},General Consultation,${var.concept.national.general-consultation-service.uuid},${var.location.maternity.uuid},,
${var.queue.national.tb-screening-laboratory.uuid},TB Screening,${var.concept.national.tb-screening-service.uuid},${var.location.laboratory.uuid},,
${var.queue.national.anc-laboratory.uuid},ANC,${var.concept.national.anc-service.uuid},${var.location.laboratory.uuid},,
${var.queue.national.general-consultation-laboratory.uuid},General Consultation,${var.concept.national.general-consultation-service.uuid},${var.location.laboratory.uuid},,
${var.queue.national.tb-screening-pharmacy.uuid},TB Screening,${var.concept.national.tb-screening-service.uuid},${var.location.pharmacy.uuid},,
${var.queue.national.anc-pharmacy.uuid},ANC,${var.concept.national.anc-service.uuid},${var.location.pharmacy.uuid},,
${var.queue.national.general-consultation-pharmacy.uuid},General Consultation,${var.concept.national.general-consultation-service.uuid},${var.location.pharmacy.uuid},,
