dak_tab,dak_section,dak_data_element_id,dak_data_element_name,dak_answer_of,dak_data_type,dak_ciel,dak_read_date,decision,layer,domain,liberiaemr_variable,concept_uuid_source,form_field,status,notes
ANC,Obstetric history (PARA),LBR.EMR.DE.1,Gravida,,Integer,5624,2026-08-06,reuse-ciel,mch,concepts,var.concept.ciel.gravida.uuid,CIEL 5624,anc-initial.json#gravida;anc-national.json#gravida,verified,"DAK CIEL code matches the alias already declared in variables.properties. Rechecked against public OCL (CIEL 5624 Gravida, Question/Numeric) and clinically approved during the ANC obstetric-history review."
ANC,Obstetric history (PARA),LBR.EMR.DE.2,Last menstrual period (LMP),,Date,1427,2026-08-06,reuse-ciel,mch,concepts,var.concept.ciel.lmp.uuid,CIEL 1427,anc-initial.json#lmp;anc-national.json#lmp,verified,"DAK CIEL code matches the alias already declared in variables.properties. Rechecked against public OCL (CIEL 1427 Date of last menstrual period, Finding/Date) and clinically approved during the ANC obstetric-history review. CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9)."
ANC,Obstetric history (PARA),LBR.EMR.DE.3,Full-term births (FT),,Integer,162557,2026-08-06,reuse-ciel,mch,concepts,var.concept.ciel.full-term-births.uuid,CIEL 160080,anc-initial.json#fullTermBirths;anc-national.json#ftb,verified,"DAK proposed CIEL 162557. OCL review found 162557 is ""Total number of delivered births"" (includes abortions, stillbirths and live births) and does not match Full-term births. Implementation uses CIEL 160080 ""Number of full term pregnancies"" following terminology and clinical review. dak_ciel retains the DAK claim 162557. CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9)."
ANC,Obstetric history (PARA),LBR.EMR.DE.4,Preterm births (P),,Integer,160078,2026-08-06,reuse-ciel,mch,concepts,var.concept.ciel.preterm-births.uuid,CIEL 160078,anc-initial.json#pretermBirths;anc-national.json#ptb,verified,"Checked against public OCL (CIEL 160078 Number of preterm births, Question/Numeric) and clinically approved for Preterm births (P). CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9)."
ANC,Obstetric history (PARA),LBR.EMR.DE.5,Abortions (A),,Integer,1823,2026-08-06,reuse-ciel,mch,concepts,var.concept.ciel.abortions.uuid,CIEL 1823,anc-initial.json#abortions;anc-national.json#abortions,verified,"Checked against public OCL (CIEL 1823 Number of abortions/miscarriages, Finding/Numeric). Combined DAK use of spontaneous and induced abortions as a single count was clinically approved. CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9)."
ANC,Obstetric history (PARA),LBR.EMR.DE.6,Living children (LN),,Integer,1825,2026-08-06,reuse-ciel,mch,concepts,var.concept.ciel.living-children.uuid,CIEL 1825,anc-initial.json#livingChildren;anc-national.json#living_children,verified,"Checked against public OCL (CIEL 1825 Total number of living children, Question/Numeric) and clinically approved for Living children (LN). CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9)."
ANC,Physical Examination,LBR.EMR.DE.7,Colour,,Coding,,2026-08-11,reuse-local,national,concepts,var.concept.national.color.uuid,local,anc-initial.json#physicalExamColour;anc-national.json#color,verified,Uses existing national physical-exam Color question (US spelling FSN Color; Form Builder label Colour). Coded Normal/Abnormal via national answer concepts. Distinct from DE.25 Colour (HGT) Text. Confirmed loaded on production-like non-demo runtime.
ANC,Physical Examination,LBR.EMR.DE.8,Normal (N),Colour,Code,1115,2026-08-06,reuse-ciel,national,concepts,var.concept.ciel.normal.uuid,CIEL 1115,anc-initial.json#physicalExamColour;anc-national.json#color,verified,"Answer code for Colour and for every other ANC Initial Visit physical-examination question. DAK claim 1115 confirmed against the OCL exports this distro loads (CIEL 1115 Normal, Misc/N-A; present in lib-mch-ciel-head.zip)."
ANC,Physical Examination,LBR.EMR.DE.9,Abnormal (ABN),Colour,Code,,2026-07-30,reuse-ciel,national,concepts,var.concept.ciel.abnormal.uuid,CIEL 1116,anc-initial.json#physicalExamColour;anc-national.json#color,verified,"Answer code. DAK gives no CIEL code; implementation uses CIEL 1116 Abnormal, confirmed present in lib-mch-ciel-head.zip. Pairs with DE.8 CIEL 1115."
ANC,Physical Examination,LBR.EMR.DE.10,Heart,,Coding,,2026-07-30,reuse-local,national,concepts,var.concept.national.heart.uuid,local,anc-initial.json#heart;anc-national.json#heart,verified,"Existing national physical-exam question, coded Normal/Abnormal via CIEL 1115/1116. No CIEL code in the DAK; terminology lookup still open before a CIEL mapping can be asserted."
